title,amount,department,date,city,views,details
Fed up of giving bribe,"50,000",Service Tax,"October 6, 2020","Jhansi, Uttar Pradesh",1785,Hlo i m from jhansi and i am the owner of transport and my work is simple just to bring the goods from different states and distribute them in my city...
Officer Asking Additional 2500 rs. for the property tax registration,"2,500",Building and Housing,"October 6, 2020","Bihar Sharif, Bihar",474,"Hi, recently i visited at bihar sharif municipal corporation office of property tax registration I asked details about the charge, one officer told me..."
Asked bribe threatening about pollution certificate,500,"Traffic Fines, Penalties, Rules","October 6, 2020","Bangalore, Karnataka",1495,Saying that I will have to pay 1500 as I don't have  pollution certificate and asked me to leave  taking the 500rs fine I paid for no helmet without g...
Bribery for asking a report,"50,000",Autorickshaws,"October 5, 2020","Thane, Maharashtra",2086,"There was a fir eoutage in Arcadia Shopping complex, Hiranandani Estate, GB Road. Thane on 2nd Oct 2020 at around 7am For getting the FIR reports and ..."
I paid 500rs bribe for passport police verification,500,,"October 2, 2020","New Delhi, Delhi",1509,I forcefully paid a bribe of INR 500.00 for tatkaal passport in post police verification. This shameful incident took place on baapu's birthday (02 oc...
ACCT LVO 060,"50,000",Sales Tax,"October 1, 2020","Bangalore, Karnataka",1332,"Due to pandemic we are addressing huge business issue, at this gesture instead of helping us, the commercial tax department officer Mr. sunil is unnec..."
"Excise dept at Anmod Ghat,  Belgaum","4,000",Excise,"September 27, 2020","Belgaum, Karnataka",1681,"We four Dr. Vivekananda Kulkarni,  Dr Aditya Kulkarni,  Mrs Rekha Kulkarni & Dr Mrs Manisha Kulkarni along with 3 year old child Master Shlok  were tr..."
I am an advocate one widow lady namely Reema came at my office and told that my husband has committe,"1,000",Policies and Procedures,"September 27, 2020","New Delhi, Delhi",1564,I am an advocate one widow lady namely Reema came at my office and told that my husband has committed suicide and his mobile phone is in police statio...
For clearing papers in survey for SRA,"5,00,000",,"September 25, 2020","Mumbai, Maharashtra",1832,It is mr. Nairale Dy Collector encroachment is asking frequently money through marathon builder of 5 lacks from tenants like us to clear our title....
Paid bribe at Sub-Registrar office Raisinghnagar,"18,000",Property Registration,"September 25, 2020","Ganganagar, Rajasthan",1100,I bought a house and property registration of the same was done. Earlier we decided that we will directly go to sub registrar and get our sale deed re...
They said it is registration fee for birth certificate ,400,"Births, Family and Care","October 14, 2020","Bangalore, Karnataka",1266,"Dear sir, I went to collect my son birth certificate from BBMP office Robertson road and filled the form and went to respective official ( lady office..."
Paid bribe for not having insurance during pandemic ,350,Vehicle Insurance,"October 13, 2020","Bangalore, Karnataka",1202,"13th Oct, 3pm, BEML GATE, New Thippasandra post.  Name of officer: Mr. Ramchandran or Ramcharan, single star traffic cop I had my helmet on and return..."
Forced to pay bribe at KR Puram RTO,100,Driving and Transport Business,"October 13, 2020","Bangalore, Karnataka",1305,I want to report the rampant corruption going on in KR Puram RTO.  Mr Kamal Babu and another accomplice of his (not wearing a name tag and refused to ...
